position,person,personID,start,end
President,Glafcos Clerides,Q317648,1998-02-28,2003-02-28
President,Tassos Papadopoulos,Q200776,2003-03-01,2008-02-27
President,Dimitris Christofias,Q57334,2008-02-28,2013-02-28
President,Nikos Anastasiades,Q2112764,2013-02-28,
"Minister of Agriculture, Natural Resources and Environment",Kostas Themistokleous,Q6433526,1998-03-03,2003-02-28
"Minister of Agriculture, Natural Resources and Environment",Timis Efthymiou,Q16331096,2003-03-03,2006-06-13
"Minister of Agriculture, Natural Resources and Environment",Fotis Fotiou,Q65493462,2006-06-13,2008-02-28
"Minister of Agriculture, Natural Resources and Environment",Michalis Polinikis,Q3308643,2008-03-01,2010-03-02
"Minister of Agriculture, Natural Resources and Environment",Dimitris Eliades,Q3022088,2010-03-02,2011-08-05
"Minister of Agriculture, Natural Resources and Environment",Sophocles Aletraris,Q65962689,2011-08-05,2013-02-28
"Minister of Agriculture, Natural Resources and Environment",Nicos Kouyialis,Q21009588,2013-03-01,2015-01-04
"Minister of Agriculture, Rural Development and Environment",Nicos Kouyialis,Q21009588,2015-01-05,2018-02-28
"Minister of Agriculture, Rural Development and Environment",Kostas Kadis,Q5175045,2018-03-01,
"Minister of Commerce, Industry and Tourism",Nikos Rolandis,Q25110471,1998-02-28,2003-02-28
"Minister of Commerce, Industry and Tourism",Giorgos Lillikas,Q694791,2003-03-01,2006-06-12
"Minister of Commerce, Industry and Tourism",Antonis Michaelides,Q65117023,2006-06-13,2008-02-28
"Minister of Commerce, Industry and Tourism",Antonis Paschalides,Q16151899,2008-02-29,2011-08-04
"Minister of Commerce, Industry and Tourism",Praksoula Antoniadou,Q7238946,2011-08-05,2012-03-20
"Minister of Commerce, Industry and Tourism",Neoklis Sylikiotis,Q16330441,2012-03-20,2013-02-28
"Minister of Commerce, Industry and Tourism",Giorgos Lakkotripes,Q50364732,2013-03-01,2013-07-12
Minister of Communications and Works,Averof Neofytou,Q15951474,1999-08-25,2003-02-28
Minister of Communications and Works,Kikis Kazamias,Q6406296,2003-03-01,2004-04-14
Minister of Communications and Works,Giorgos Lillikas,Q694791,2004-04-15,2004-05-19
Minister of Communications and Works,Haris Thrasou,Q65117030,2004-05-19,2007-07-16
Minister of Communications and Works,Maria Malactou Pampalli,Q65552599,2007-07-16,2008-02-29
Minister of Communications and Works,Nikos Nicolaides,Q12912924,2008-02-29,2010-03-02
Minister of Communications and Works,Erato Kozakou Marcoullis,Q2075776,2010-03-02,2011-08-05
Minister of Communications and Works,Efthimios Flourentzou,Q65493356,2011-08-05,2013-02-28
Minister of Communications and Works,Tasos Mitsopoulos,Q15975166,2013-03-01,2014-03-14
Minister of Communications and Works,Marios Demetriades,Q16208000,2014-03-14,2015-04-09
Minister of Defence,Sokratis Hasicos,Q29996727,1999-08-25,2003-02-28
Minister of Defence,Kyriakos Mavronikolas,Q1598789,2003-03-01,2006-06-13
Minister of Defence,Fivos Klokaris,Q66581872,2006-06-13,2006-09-25
Minister of Defence,Nikos Symeonidis,Q66581876,2006-10-06,2007-05-03
Minister of Defence,Christodoulos Pashiardis,Q12886217,2007-05-14,2008-02-29
Minister of Defence,Kostas Papacostas,Q5175056,2008-02-29,2011-07-14
Minister of Defence,Dimitris Eliades,Q3022088,2011-08-05,2013-03-01
Minister of Defence,Fotis Fotiou,Q65493462,2013-03-02,2014-03-13
Minister of Defence,Tasos Mitsopoulos,Q15975166,2014-03-14,2014-03-22
Minister of Defence,Sokratis Hasicos,Q29996727,2014-03-23,2014-04-06
Minister of Defence,Christophoros Fokaides,Q47529664,2014-04-07,2018-02-28
Minister of Defence,Savvas Angelides,Q50364734,2018-03-01,2020-06-28
Minister of Defence,Charalampos Petrides,Q57561010,2020-06-29,
Minister of Education and Culture,Ouranios Ioannides,Q65963278,1999-01-05,2003-02-28
Minister of Education and Culture,Pefkios Georgiades,Q65963369,2003-03-01,2007-01-17
Minister of Education and Culture,Neoklis Sylikiotis,Q16330441,2007-01-24,2007-02-19
Minister of Education and Culture,Akis Cleanthous,Q1469470,2007-02-20,2008-02-29
Minister of Education and Culture,Andreas Demetriou,Q2846455,2008-02-29,2011-08-05
Minister of Education and Culture,Giorgos Demosthenous,Q66725259,2011-08-06,2013-02-28
Minister of Education and Culture,Kyriakos Kenevezos,Q66689086,2013-03-01,2014-03-14
Minister of Education and Culture,Kostas Kadis,Q5175045,2014-03-14,2018-02-28
Minister of Education and Culture,Costas Hambiaouris,Q50364739,2018-02-28,2019-07-09
"Minister of Education, Culture, Sports and Youth",Costas Hambiaouris,Q50364739,2019-07-09,2019-12-03
"Minister of Education, Culture, Sports and Youth",Prodromos Prodromou,Q65553792,2019-12-03,
"Minister of Energy, Commerce and Industry",Giorgos Lakkotripes,Q50364732,2019-01-02,2020-07-10
"Minister of Energy, Commerce and Industry",Natasa Pilides,Q86709198,2020-07-10,
"Minister of Energy, Commerce, Industry and Tourism",Giorgos Lakkotripes,Q50364732,2013-07-12,2019-01-01
Minister of Finance,Takis M. Klerides,Q7678400,1999-03-19,2003-02-28
Minister of Finance,Markos Kyprianou,Q511455,2003-03-01,2004-04-30
