item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,sourceDate,source,psid
Q107051211,ALAMBRITIS Prodromos,Q644973,Democratic Rally,Q64918047,Larnaca constituency,2021-06-01,,male,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q107051211-5666CD8C-056F-46B0-A1D1-3632FE639B82
Q107126438,APOSTOLOU Andreas,Q259800,Movement for Social Democracy,Q64918047,Larnaca constituency,2021-06-01,,male,2022-07-28,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q107126438-AC924E50-0D67-47A7-87F2-EBD255B6CF79
Q107126576,ATTALIDES Alexandra,Q1650110,Movement of Ecologists — Citizens' Cooperation,Q64918044,Nicosia constituency,2021-06-01,,female,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q107126576-101BA66C-5BDC-41AD-8EDC-2193DFE0E5AE
Q12876791,CHARALAMBIDES Irene,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,2021-06-01,,female,2022-07-28,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q12876791-D28800DF-755B-407E-A6B3-9256A74D5315
Q107049720,CHRISTOFIAS Christos,Q212158,Progressive Party of Working People,Q64864679,Kyrenia constituency,2021-06-01,,male,2022-07-28,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q107049720-E24BFEC4-3988-4CDE-8E7A-04A8FAB26FAA
Q107050898,CHRISTOPHIDES Christos,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,2021-06-01,,male,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q107050898-C8749AE7-4815-4647-847F-E0972FA92DC6
Q47463125,CHRISTOU Christos,Q2748384,ELAM,Q64918044,Nicosia constituency,2021-06-01,,male,2022-07-28,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q47463125-514CD7CB-2AD0-4A88-B0CB-B82BED6539F5
Q12879928,COSTA Costas,Q212158,Progressive Party of Working People,Q64918041,Limassol constituency,2021-06-01,,male,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q12879928-FE1F8B34-1667-41AE-9BC1-ADE15A068C27
Q12872352,DAMIANOU Aristos,Q212158,Progressive Party of Working People,Q64918044,Nicosia constituency,2021-06-01,,male,2022-07-28,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q12872352-2F58A4DA-65A3-456D-B64E-C5F7F91389E4
Q47984268,DEMETRIOU Annita,Q644973,Democratic Rally,Q64918047,Larnaca constituency,2021-06-01,,female,2022-07-28,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q47984268-727C5213-3BC2-4BC1-A89D-E4F23942AD10
Q60666834,DEMETRIOU Demetris,Q644973,Democratic Rally,Q64918044,Nicosia constituency,2021-06-01,,male,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q60666834-E7233815-64EA-4243-8B0D-A05B41E0DAB8
Q65054812,DIPLAROS Efthimios,Q644973,Democratic Rally,Q64918041,Limassol constituency,2021-06-01,,male,2022-07-28,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q65054812-6F733AA6-061B-4BC6-BD21-F51331334A44
Q65034866,Dr HADJIYIANNIS Kyriacos,Q644973,Democratic Rally,Q64918045,Famagusta constituency,2021-06-01,,male,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q65034866-1E2DE62C-D99E-440C-986C-85ED79A0D068
Q54086751,EFSTATHIOU Constantinos,Q259800,Movement for Social Democracy,Q64918044,Nicosia constituency,2021-06-01,,male,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q54086751-F8B48B79-A87E-4088-BF73-8B73A83B8895
Q52776264,EROTOKRITOU Christiana,Q816863,Democratic Party,Q64918044,Nicosia constituency,2021-06-01,,female,2021-11-16,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q52776264-540C8EC2-5BB3-4B5B-ACE7-8A6341468A9B
Q107051098,FAKONTIS Valentinos,Q212158,Progressive Party of Working People,Q64918042,Paphos constituency,2021-06-01,,male,2021-09-14,http://www.parliament.cy/en/composition/members-of-the-house/biographical-notes,Q107051098-DA862D60-E0AA-48FD-A31E-ED850A77CE08
